ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
48500,0.003,0.000,0.003,0.000,{method 'copy' of 'list' objects}
10351378,0.378,0.000,0.378,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
145502,0.009,0.000,0.009,0.000,{method 'get' of 'dict' objects}
60625,0.004,0.000,0.004,0.000,{method 'pop' of 'dict' objects}
48500,0.003,0.000,0.003,0.000,{method 'keys' of 'dict' objects}
569875,0.055,0.000,0.055,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
10534203,0.875,0.000,0.875,0.000,{method 'split' of 'str' objects}
1093154,0.061,0.000,0.061,0.000,{method 'lower' of 'str' objects}
5175688,0.227,0.000,0.227,0.000,{method 'lstrip' of 'str' objects}
10558639,0.535,0.000,0.535,0.000,{method 'rstrip' of 'str' objects}
10534203,0.403,0.000,0.403,0.000,{method 'strip' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
6315575,0.464,0.000,0.468,0.000,{built-in method builtins.isinstance}
5382951,0.215,0.000,0.215,0.000,{built-in method builtins.len}
1091250,0.196,0.000,0.196,0.000,{method 'sub' of 're.Pattern' objects}
5175688,0.729,0.000,0.729,0.000,{method 'findall' of 're.Pattern' objects}
12241,0.008,0.000,0.008,0.000,{built-in method _codecs.utf_8_decode}
12125,0.002,0.000,0.002,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
12241,0.005,0.000,0.013,0.000,codecs.py:319(decode)
12125,0.002,0.000,0.004,0.000,abc.py:96(__instancecheck__)
1,0.001,0.001,19.819,19.819,profiling.py:11(read_data)
1,0.012,0.012,19.831,19.831,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1091250,0.199,0.000,0.657,0.000,re.py:203(sub)
5175688,1.027,0.000,3.065,0.000,re.py:233(findall)
6266938,1.111,0.000,1.571,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
12125,0.014,0.000,1.474,0.000,Spectrum.py:71(__init__)
1,0.000,0.000,0.000,0.000,{method 'argsort' of 'numpy.ndarray' objects}
24250,0.013,0.000,0.013,0.000,{method 'copy' of 'numpy.ndarray' objects}
24250,0.335,0.000,0.335,0.000,{built-in method numpy.array}
24251,0.007,0.000,0.059,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
24250,0.021,0.000,0.021,0.000,{method 'reduce' of 'numpy.ufunc' objects}
1,0.000,0.000,0.000,0.000,fromnumeric.py:51(_wrapfunc)
24250,0.005,0.000,0.005,0.000,fromnumeric.py:70(<dictcomp>)
24250,0.015,0.000,0.042,0.000,fromnumeric.py:69(_wrapreduction)
1,0.000,0.000,0.000,0.000,fromnumeric.py:1008(_argsort_dispatcher)
1,0.000,0.000,0.000,0.000,fromnumeric.py:1012(argsort)
24250,0.002,0.000,0.002,0.000,fromnumeric.py:2399(_all_dispatcher)
24250,0.010,0.000,0.052,0.000,fromnumeric.py:2404(all)
1,0.000,0.000,0.000,0.000,<__array_function__ internals>:177(argsort)
24250,0.008,0.000,0.069,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
12125,0.003,0.000,0.435,0.000,Spectrum.py:175(get)
12125,0.001,0.000,0.001,0.000,Spectrum.py:216(losses)
12125,0.004,0.000,0.440,0.000,Spectrum.py:224(peaks)
